"Dup #","Overlap %","KEEP → ID","KEEP → Name","KEEP → Requirement","KEEP → Example","DUP 1 → ID","DUP 1 → Name","DUP 1 → Requirement","DUP 1 → Example","DUP 2 → ID","DUP 2 → Name","DUP 2 → Requirement","DUP 2 → Example","Merge Proposal"
"Dup 1","86%","G01-R016","Forbidden Product Suffixes","Products must NOT end with: _analysis, _analytics, _report, _summary, _aggregate, _dashboard, _metrics, _kpi, _score, _model, _prediction.","'fraud_detection', 'churn_prediction', 'revenue_analysis', 'performance_metrics', 'customer_360' are all forbidden.","G01-R024","No Analytics Suffixes","Product (table) names must NOT end with analytics-oriented suffixes: _analysis, _analytics, _report, _summary, _aggregate, _dashboard, _metrics, _kpi, _score, _model, or _prediction.","'fraud_detection', 'churn_prediction', 'revenue_analysis', 'sales_summary' are all forbidden. Store raw events instead.","","","","","MERGE into G01-R016. G01-R024 lists the same forbidden analytics suffixes. Combine the suffix lists and delete G01-R024."
"Dup 2","88% name","G06-R007","Org Chart Test","For every domain: 'Would I find a department named this at the company headquarters?' If NO -> rename.","'party' might fail the org chart test for a small company. 'customer_service' would pass.","G06-R016","The Org Chart Test","Every domain must pass: 'Would a department with this name actually exist in the organization?'","'finance' passes. 'customer' passes. 'utilities' fails - nobody says 'I work in Utilities'. Ask: 'Would a recruiter post jobs in this department?'","","","","","MERGE into G06-R007. Identical concept — Org Chart Test. G06-R016 adds 'Would a recruiter post jobs here?' framing which can be folded in. Delete G06-R016."
"Dup 3","64-69%","G03-R013","Parent-Child FK Protected","Parent-child FKs (child->parent direction) must NEVER be broken during cycle resolution.","'order_line.order_id -> order.order_id' is parent-child and protected. Break computed references first.","G03-R015","Preserve Parent-Child FKs","Parent-child foreign keys (child referencing its parent) must NEVER be removed during model optimization or cycle breaking.","order_item.order_id linking to order must never be removed. purchase_order_line.purchase_order_id is sacred. These are the structural backbone.","G09-R005","Parent-Child FK Never Broken","N:1 ownership FKs (child->parent) must NEVER be broken when resolving cycles.","'order_line.order_id -> order.order_id' is ownership - never break this.","MERGE all three into G03-R013. All state: parent-child FKs must never be broken. G03-R015 adds 'structural backbone' language. G09-R005 adds cycle-resolution context. Fold both into G03-R013. Delete G03-R015 and G09-R005."
"Dup 4","65%","G09-R001","FK Graph as DAG","The FK graph must be a Directed Acyclic Graph (DAG). Cycles detected via DFS and auto-broken.","No path A->B->C->...->A is allowed. Agent runs up to 5 rounds of cycle detection and breaking.","G03-R003","DAG Requirement","Relationships must form a Directed Acyclic Graph (DAG). A->B->C->A is forbidden. Detected via DFS.","'invoice->billing_account->invoice' is a cycle. The weakest link is auto-broken.","","","","","MERGE into G09-R001. G03-R003 states DAG briefly; G09-R001 adds DFS detection and 5-round retry detail. Keep G09-R001 as canonical DAG rule. Delete G03-R003."
"Dup 5","66%","G06-R004","Forbidden Domain Types","analytics, reporting, insights, intelligence, bi, datawarehouse, data, system, integration, api, etl, logging are forbidden.","Silver layer models must NOT have analytics/reporting domains - those belong in Gold layer.","G06-R015","No Analytics Domains","No analytics, reporting, insights, intelligence, or data warehouse domains.","'analytics', 'reporting', 'intelligence', 'insights', 'metrics', 'kpi', 'dashboard', 'bi', 'datawarehouse' are all forbidden.","","","","","MERGE into G06-R004. G06-R015's analytics-specific list is a subset of G06-R004's broader forbidden list. Ensure all analytics terms are in G06-R004. Delete G06-R015."
"Dup 6","78%","G07-R008","Table Classifications","Every table must be classified: master_data, reference_data, transactional_data, or association_data.","'customer' = master_data. 'country' = reference_data. 'order' = transactional_data. 'enrollment' = association_data.","G12-R006","Product Data Types","Allowed data_type: master_data, reference_data, transactional_data, association_data.","'customer' -> master_data. 'order' -> transactional_data. 'country' -> reference_data. 'enrollment' -> association_data.","","","","","MERGE into G07-R008. Both list the same 4 data_type values (master_data, reference_data, transactional_data, association_data). Delete G12-R006."
"Dup 7","69%","G08-R001","Classification in Tags Only","Data classification levels go in TAGS only, NOT in attribute names or descriptions.","Tag: 'restricted,pii_email'. NOT attribute name: 'restricted_email'.","G01-R018","No Classification Prefix","Data classification levels (restricted, confidential, internal, public) go in TAGS only, NOT in attribute names.","Use 'email_address' with tag 'restricted,pii_email'. NOT 'restricted_email_address'.","","","","","MERGE into G08-R001. G01-R018 says 'no classification in names' — this is the naming side of G08-R001's 'classification in tags only'. Fold the naming prohibition into G08-R001. Delete G01-R018."
"Dup 8","63%","G01-R011","Association Table Naming","Association (junction) table names must NOT repeat the domain name as a prefix. Use semantically meaningful names.","In 'education' domain: 'enrollment' not 'education_enrollment'. Never use generic names like 'link', 'mapping', or 'junction'.","G01-R023","Meaningful Junction Names","Association (junction) table names must be semantically meaningful business terms. Generic-only names are forbidden.","'enrollment' not 'student_course_link'. 'assignment' not 'bridge'. 'supply_agreement' not 'relationship'. If the only name is 'link' or 'mapping', the M:N relationship probably should not exist.","","","","","MERGE into G01-R011. Both cover junction/association table naming. G01-R023 adds 'if only name is link/mapping, M:N probably shouldn't exist' — fold that point in. Delete G01-R023."
"Dup 9","58-75% name","G12-R010","Small Table Handling","Tables with fewer than min_attributes must be evaluated: MERGE, KEEP with justification, or DROP.","A 'status_type' table with only 3 attributes -> likely should be merged as enum on parent.","G12-R020","Evaluate Small Tables","Small tables with very few columns: MERGE (columns belong on parent), KEEP (valid lookup), or DROP (exact duplicate).","'customer_type' with 3 cols (PK, code, label) -> KEEP (valid lookup). 'customer_phone' with 3 cols alongside customer table -> MERGE.","G12-R026","Define Small Tables","A table is 'small' when it has fewer attributes than the configured minimum (default 5). Small tables must be evaluated.","'customer_type' with 3 attrs = small -> evaluate (KEEP as valid lookup). Any table with 5+ attrs is NOT small.","MERGE all three into G12-R010. G12-R020 adds specific MERGE/KEEP/DROP examples. G12-R026 defines the <5 attrs threshold. Fold both into G12-R010. Delete G12-R020 and G12-R026."
"Dup 10","77% name","G06-R012","Domain Hard Ceiling","Domain count hard ceiling = max_domains x 1.5. Exceeding this is a hard rejection.","If tier says max 18 domains, hard ceiling is 27. Beyond 27 -> rejected and retried.","G11-R024","Domain Count Ceiling","Total domain count must never exceed the configured maximum x 1.5.","If max_domains is 8, ceiling is 12. A model with 15 domains is rejected and must be consolidated.","","","","","MERGE into G06-R012. Both say domain count ceiling = max_domains × 1.5. Delete G11-R024."
