domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
asset,asset_lifecycle,acquisition,acquisition_id,acquisition_id,Asset Acquisition ID,BIGINT,Y,,,,transactional_data,System-generated unique identifier for the asset acquisition record.,SAP PM module
asset,asset_lifecycle,acquisition,cost_center_id,cost_center_id,Cost Center Id (Foreign Key),BIGINT,,finance.cost_center.cost_center_id,,,transactional_data,Foreign key linking to finance.cost_center. Business justification: Critical for capital expenditure allocation to the proper cost center during asset acquisition accounting.,Internal - LLM Generated Cross-Domain Link
asset,asset_lifecycle,acquisition,functional_location_id,functional_location_id,Location ID,BIGINT,,asset.functional_location.functional_location_id,,,transactional_data,Identifier of the plant or facility where the asset is installed.,SAP PM module
asset,asset_lifecycle,acquisition,party_id,party_id,Party Id (Foreign Key),BIGINT,,customer.party.party_id,,,transactional_data,"Foreign key linking to customer.party. Business justification: When equipment is sold to external customers, acquisition records must capture the buyer party for revenue recognition and contract compliance.",Internal - LLM Generated Cross-Domain Link
asset,asset_lifecycle,acquisition,procurement_supplier_id,procurement_supplier_id,Vendor ID,BIGINT,,procurement.procurement_supplier.procurement_supplier_id,,,transactional_data,Unique identifier of the supplier providing the asset.,SAP MM module
asset,asset_lifecycle,acquisition,vendor_id,vendor_id,Vendor ID,BIGINT,,procurement.vendor.vendor_id,,,transactional_data,Unique identifier of the supplier providing the asset.,SAP MM module
asset,asset_lifecycle,acquisition,acquisition_number,acquisition_number,Acquisition Number,STRING,,,,,transactional_data,External business identifier or reference number for the acquisition transaction.,SAP PM module
asset,asset_lifecycle,acquisition,acquisition_status,acquisition_status,Acquisition Status,STRING,,,,planned|ordered|received|installed|active|retired,transactional_data,Current lifecycle status of the acquisition process.,IATF 16949
asset,asset_lifecycle,acquisition,acquisition_timestamp,acquisition_timestamp,Acquisition Timestamp,TIMESTAMP,,,,,transactional_data,"Date and time when the acquisition event was recorded (e.g., purchase order issuance).",SAP PM module
asset,asset_lifecycle,acquisition,approval_date,approval_date,Approval Date,DATE,,,,,transactional_data,Date when the acquisition was approved.,SAP MM module
asset,asset_lifecycle,acquisition,approval_status,approval_status,Approval Status,STRING,,,,pending|approved|rejected,transactional_data,Current approval state of the acquisition request.,SAP MM module
asset,asset_lifecycle,acquisition,asset_category,asset_category,Asset Category,STRING,,,,,transactional_data,"Business category grouping for the asset (e.g., production, auxiliary).",SAP PM module
asset,asset_lifecycle,acquisition,asset_condition,asset_condition,Asset Condition,STRING,,,,new|used|refurbished,transactional_data,Physical condition of the asset at the time of acquisition.,IATF 16949
asset,asset_lifecycle,acquisition,asset_subcategory,asset_subcategory,Asset Subcategory,STRING,,,,,transactional_data,More detailed classification within the asset category.,SAP PM module
asset,asset_lifecycle,acquisition,asset_tag,asset_tag,Asset Tag,STRING,,,,,transactional_data,Human‑readable label or tag assigned to the asset for identification on the shop floor.,SAP PM module
asset,asset_lifecycle,acquisition,asset_type,asset_type,Asset Type,STRING,,,,machinery|tooling|fixture|infrastructure|robot|conveyor,transactional_data,High‑level classification of the acquired asset.,SAP PM module
asset,asset_lifecycle,acquisition,budget_line_item,budget_line_item,Budget Line Item,STRING,,,,,transactional_data,Budget line item code used for the acquisition funding.,SAP CO module
asset,asset_lifecycle,acquisition,capex_project_code,capex_project_code,CapEx Project Code,STRING,,,,,transactional_data,Capital expenditure project identifier linked to the acquisition.,SAP FI module
asset,asset_lifecycle,acquisition,commissioning_date,commissioning_date,Commissioning Date,DATE,,,,,transactional_data,Date when the asset was officially commissioned and ready for production.,SAP PM module
