domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
inventory,material_master,sku_master,sku_master_id,sku_master_id,SKU Master Identifier,BIGINT,Y,,,,master_data,Unique surrogate key for each SKU master record.,Primary Key
inventory,material_master,sku_master,supply_supplier_id,supply_supplier_id,Part Master Id (Foreign Key),BIGINT,,supply.supply_supplier.supply_supplier_id,,,master_data,Foreign key linking to supply.supply_supplier. Business justification: Required for traceability report linking engineering part definitions to inventory SKUs for production planning and cost tracking.,Internal - LLM Generated Cross-Domain Link
inventory,material_master,sku_master,country_of_origin,country_of_origin,Country of Origin,STRING,,,,^[A-Z]{3}$,master_data,ISO 3166‑1 alpha‑3 code of the country where the SKU was manufactured.,Customs & Trade
inventory,material_master,sku_master,created_timestamp,created_timestamp,Record Creation Timestamp,TIMESTAMP,,,,,master_data,Date and time when the SKU master record was created.,SAP S/4HANA MM Audit
inventory,material_master,sku_master,currency_code,currency_code,Currency Code,STRING,,,,^[A-Z]{3}$,master_data,Three‑letter ISO currency code for price fields.,ISO 4217 Currency Codes
inventory,material_master,sku_master,customs_tariff_code,customs_tariff_code,Customs Tariff Code,STRING,,,,,master_data,HS or tariff code used for import/export compliance.,Customs & Trade
inventory,material_master,sku_master,description,description,SKU Description,STRING,,,,,master_data,"Detailed textual description of the SKU, including functional characteristics.",SAP S/4HANA MM Material Master
inventory,material_master,sku_master,ean13,ean13,EAN‑13 Barcode,STRING,,,,^\d{13}$,master_data,13‑digit European Article Number for the SKU.,GS1 Standards
inventory,material_master,sku_master,effective_from,effective_from,Effective From Date,DATE,,,,,master_data,Date from which the SKU definition is valid.,SAP S/4HANA MM Material Master
inventory,material_master,sku_master,effective_until,effective_until,Effective Until Date,DATE,,,,,master_data,Date until which the SKU definition remains valid; null if indefinite.,SAP S/4HANA MM Material Master
inventory,material_master,sku_master,expiration_date,expiration_date,Expiration Date,DATE,,,,,master_data,Date after which the SKU is considered expired.,SAP S/4HANA MM Material Master
inventory,material_master,sku_master,hazardous_class,hazardous_class,Hazardous Class,STRING,,,,,master_data,"Regulatory hazard class (e.g., Class 1, Class 2) for the SKU.",Regulatory – Hazardous Materials
inventory,material_master,sku_master,hazardous_flag,hazardous_flag,Hazardous Material Flag,BOOLEAN,,,,,master_data,Indicates whether the SKU is classified as hazardous under regulatory standards.,Regulatory – Hazardous Materials
inventory,material_master,sku_master,height_cm,height_cm,Height (Centimeters),"DECIMAL(12,2)",,,,,master_data,Height dimension of the SKU in centimeters.,SAP S/4HANA MM Material Master
inventory,material_master,sku_master,last_price,last_price,Last Purchase Price,"DECIMAL(12,2)",,,,,master_data,Most recent purchase price recorded for the SKU.,SAP S/4HANA MM Pricing
inventory,material_master,sku_master,lead_time_days,lead_time_days,Lead Time (Days),INT,,,,,master_data,Planned number of days from order to receipt of the SKU.,SAP S/4HANA MM Material Master
inventory,material_master,sku_master,length_cm,length_cm,Length (Centimeters),"DECIMAL(12,2)",,,,,master_data,Length dimension of the SKU in centimeters.,SAP S/4HANA MM Material Master
inventory,material_master,sku_master,lot_controlled_flag,lot_controlled_flag,Lot Controlled Flag,BOOLEAN,,,,,master_data,True if inventory of the SKU is managed by lot numbers.,SAP S/4HANA MM Material Master
inventory,material_master,sku_master,material_group,material_group,Material Group,STRING,,,,,master_data,Grouping used for reporting and analysis of similar SKUs.,SAP S/4HANA MM Material Master
inventory,material_master,sku_master,material_type,material_type,Material Type,STRING,,,,,master_data,"Technical classification of the SKU (e.g., RAW, HALB, FERT).",SAP S/4HANA MM Material Master
inventory,material_master,sku_master,max_order_qty,max_order_qty,Maximum Order Quantity,"DECIMAL(12,2)",,,,,master_data,Largest quantity that can be ordered in a single transaction.,SAP S/4HANA MM Material Master
inventory,material_master,sku_master,min_order_qty,min_order_qty,Minimum Order Quantity,"DECIMAL(12,2)",,,,,master_data,Smallest quantity that can be ordered for the SKU.,SAP S/4HANA MM Material Master
inventory,material_master,sku_master,mrp_controller,mrp_controller,MRP Controller,STRING,,,,,master_data,Responsible planner or group for the SKU's MRP.,SAP S/4HANA MM MRP
inventory,material_master,sku_master,mrp_type,mrp_type,MRP Type,STRING,,,,PD|VB|FO|... ,master_data,Material Requirements Planning type that controls how the SKU is planned.,SAP S/4HANA MM MRP
