domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
fulfillment,carrier_management,carrier,carrier_id,carrier_id,Carrier Identifier,BIGINT,Y,,,,master_data,Primary key for carrier,
fulfillment,carrier_management,carrier,certification_id,certification_id,Certification Id (Foreign Key),BIGINT,,compliance.certification.certification_id,,,master_data,"Foreign key linking to compliance.certification. Business justification: Carriers must maintain certifications (DOT authority, hazmat endorsement, food transport certification, C-TPAT) to be eligible for retail shipping contracts. Links carriers to certification records fo",Internal - LLM Generated Cross-Domain Link
fulfillment,carrier_management,carrier,vendor_id,vendor_id,,BIGINT,,supplier.vendor.vendor_id,,,master_data,add column vendor_id (BIGINT) with FK to supplier.vendor.vendor_id - carriers are vendors with contracts and should link to the vendor master for unified supplier management,
fulfillment,carrier_management,carrier,api_integration_flag,api_integration_flag,Application Programming Interface (API) Integration Flag,BOOLEAN,,,,,master_data,"Indicates whether the carrier provides API integration capabilities for real-time rate shopping, booking, and tracking.",Internal Integration Standards
fulfillment,carrier_management,carrier,base_rate_per_lb,base_rate_per_lb,Base Rate Per Pound,"DECIMAL(10,4)",,,confidential,,master_data,"Negotiated base shipping rate per pound for standard service level, before surcharges and adjustments.",Carrier Contract Terms
fulfillment,carrier_management,carrier,bopis_ready_flag,bopis_ready_flag,Buy Online Pick Up In Store (BOPIS) Ready Flag,BOOLEAN,,,,,master_data,Indicates whether the carrier supports BOPIS fulfillment logistics including store-to-customer handoff coordination.,NRF Omnichannel Standards
fulfillment,carrier_management,carrier,carrier_code,carrier_code,,STRING,,,,"^[A-Z0-9]{2,10}$",master_data,Internal short code or abbreviation used to identify the carrier in operational systems.,Internal MDM Standard
fulfillment,carrier_management,carrier,carrier_name,carrier_name,Carrier Legal Name,STRING,,,,,master_data,The legal business name of the carrier or third-party logistics (3PL) provider.,GS1 Global Standards
fulfillment,carrier_management,carrier,carrier_status,carrier_status,,STRING,,,,active|inactive|suspended|pending_approval,master_data,Current operational status of the carrier relationship indicating whether the carrier is available for shipment assignment.,Internal MDM Standard
fulfillment,carrier_management,carrier,carrier_type,carrier_type,,STRING,,,,parcel|ltl|ftl|last_mile|same_day|3pl,master_data,"Classification of the carrier based on service model: parcel (small package), LTL (Less Than Truckload), FTL (Full Truckload), last-mile delivery, same-day delivery, or third-party logistics (3PL) provider.",NRF Logistics Standards
fulfillment,carrier_management,carrier,contact_email,contact_email,Primary Contact Email Address,STRING,,,"confidential,pii_email","^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$",master_data,Email address of the primary carrier contact for operational communication and escalations.,Internal Vendor Management
fulfillment,carrier_management,carrier,contact_name,contact_name,Primary Contact Name,STRING,,,confidential,,master_data,Name of the primary account representative or contact person at the carrier for operational coordination and issue resolution.,Internal Vendor Management
fulfillment,carrier_management,carrier,contact_phone,contact_phone,Primary Contact Phone Number,STRING,,,"confidential,pii_phone",,master_data,Phone number of the primary carrier contact for urgent operational issues and coordination.,Internal Vendor Management
fulfillment,carrier_management,carrier,contract_end_date,contract_end_date,,DATE,,,,,master_data,Date when the carrier service contract expires or is scheduled for renewal.,Carrier Contract Terms
fulfillment,carrier_management,carrier,contract_start_date,contract_start_date,,DATE,,,,,master_data,Date when the carrier service contract or agreement became effective.,Carrier Contract Terms
fulfillment,carrier_management,carrier,created_timestamp,created_timestamp,Record Created Timestamp,TIMESTAMP,,,,,master_data,Timestamp when the carrier master record was first created in the system.,Internal Audit Standards
fulfillment,carrier_management,carrier,cutoff_time_local,cutoff_time_local,,STRING,,,,^([01]?[0-9]|2[0-3]):[0-5][0-9]$,master_data,Daily cutoff time in local warehouse time zone (HH:MM format) by which shipments must be tendered to the carrier to qualify for same-day pickup and service level commitment.,Carrier Service Level Agreement (SLA)
fulfillment,carrier_management,carrier,dimensional_weight_factor,dimensional_weight_factor,,"DECIMAL(8,2)",,,,,master_data,Divisor used to calculate dimensional weight from package dimensions (length x width x height / factor). Common values are 139 for domestic and 166 for international.,Carrier Rate Card
fulfillment,carrier_management,carrier,edi_capable_flag,edi_capable_flag,Electronic Data Interchange (EDI) Capable Flag,BOOLEAN,,,,,master_data,"Indicates whether the carrier supports Electronic Data Interchange (EDI) for automated shipment booking, tracking, and invoicing.",GS1 EDI Standards
fulfillment,carrier_management,carrier,extended_area_surcharge,extended_area_surcharge,,"DECIMAL(8,2)",,,confidential,,master_data,Additional fee charged for deliveries to remote or extended service areas beyond standard coverage zones.,Carrier Rate Card
fulfillment,carrier_management,carrier,fuel_surcharge_percentage,fuel_surcharge_percentage,,"DECIMAL(5,2)",,,confidential,,master_data,"Current fuel surcharge percentage applied to base shipping rates, typically adjusted monthly based on fuel price indices.",Carrier Rate Card
fulfillment,carrier_management,carrier,geographic_coverage,geographic_coverage,,STRING,,,,,master_data,Description of the geographic regions and countries where the carrier provides service coverage. May include restrictions or limitations.,Carrier Service Agreement
fulfillment,carrier_management,carrier,hazmat_certified_flag,hazmat_certified_flag,Hazardous Materials (HAZMAT) Certified Flag,BOOLEAN,,,,,master_data,Indicates whether the carrier is certified and authorized to transport hazardous materials under Department of Transportation (DOT) regulations.,DOT HAZMAT Regulations
fulfillment,carrier_management,carrier,insurance_coverage_flag,insurance_coverage_flag,Insurance Coverage Available Flag,BOOLEAN,,,,,master_data,Indicates whether the carrier offers shipment insurance or declared value coverage for high-value packages.,Carrier Service Agreement
fulfillment,carrier_management,carrier,max_height_inches,max_height_inches,Maximum Height in Inches,"DECIMAL(8,2)",,,,,master_data,Maximum package height dimension in inches that the carrier will accept for shipment.,Carrier Service Agreement
fulfillment,carrier_management,carrier,max_length_inches,max_length_inches,Maximum Length in Inches,"DECIMAL(8,2)",,,,,master_data,Maximum package length dimension in inches that the carrier will accept for shipment.,Carrier Service Agreement
fulfillment,carrier_management,carrier,max_weight_lbs,max_weight_lbs,Maximum Weight in Pounds (lbs),"DECIMAL(10,2)",,,,,master_data,Maximum package weight in pounds that the carrier will accept for shipment under standard service terms.,Carrier Service Agreement
fulfillment,carrier_management,carrier,max_width_inches,max_width_inches,Maximum Width in Inches,"DECIMAL(8,2)",,,,,master_data,Maximum package width dimension in inches that the carrier will accept for shipment.,Carrier Service Agreement
fulfillment,carrier_management,carrier,negotiated_discount_percentage,negotiated_discount_percentage,,"DECIMAL(5,2)",,,confidential,,master_data,Volume-based discount percentage negotiated off published carrier rates based on annual shipping commitment.,Carrier Contract Terms
fulfillment,carrier_management,carrier,rate_effective_date,rate_effective_date,,DATE,,,,,master_data,Date when the current rate card and pricing terms became effective.,Carrier Contract Terms
fulfillment,carrier_management,carrier,rate_expiry_date,rate_expiry_date,,DATE,,,,,master_data,Date when the current rate card expires and requires renegotiation or renewal.,Carrier Contract Terms
fulfillment,carrier_management,carrier,residential_delivery_surcharge,residential_delivery_surcharge,,"DECIMAL(8,2)",,,confidential,,master_data,Additional flat fee charged for deliveries to residential addresses versus commercial addresses.,Carrier Rate Card
fulfillment,carrier_management,carrier,scac_code,scac_code,Standard Carrier Alpha Code (SCAC),STRING,,,,"^[A-Z]{2,4}$",master_data,Standard Carrier Alpha Code assigned by the National Motor Freight Traffic Association for freight carriers in North America.,NMFTA SCAC Standard
fulfillment,carrier_management,carrier,service_level_ground,service_level_ground,Ground Service Level Available,BOOLEAN,,,,,master_data,Indicates whether the carrier offers standard ground shipping service.,Internal Service Catalog
fulfillment,carrier_management,carrier,service_level_overnight,service_level_overnight,Overnight Service Level Available,BOOLEAN,,,,,master_data,Indicates whether the carrier offers overnight express shipping service.,Internal Service Catalog
fulfillment,carrier_management,carrier,service_level_same_day,service_level_same_day,Same-Day Service Level Available,BOOLEAN,,,,,master_data,Indicates whether the carrier offers same-day delivery service for local or regional shipments.,Internal Service Catalog
fulfillment,carrier_management,carrier,service_level_two_day,service_level_two_day,Two-Day Service Level Available,BOOLEAN,,,,,master_data,Indicates whether the carrier offers two-day expedited shipping service.,Internal Service Catalog
fulfillment,carrier_management,carrier,signature_required_flag,signature_required_flag,,BOOLEAN,,,,,master_data,Indicates whether the carrier requires recipient signature upon delivery as a standard service feature.,Internal Fulfillment Standards
fulfillment,carrier_management,carrier,tracking_capability_flag,tracking_capability_flag,,BOOLEAN,,,,,master_data,Indicates whether the carrier provides real-time shipment tracking and visibility capabilities.,NRF Logistics Standards
fulfillment,carrier_management,carrier,transit_days_zone_1,transit_days_zone_1,Transit Days for Zone 1,INT,,,,,master_data,Standard number of business days for ground shipment delivery to Zone 1 (typically local or adjacent regions).,Carrier Service Level Agreement (SLA)
fulfillment,carrier_management,carrier,transit_days_zone_2,transit_days_zone_2,Transit Days for Zone 2,INT,,,,,master_data,Standard number of business days for ground shipment delivery to Zone 2 (typically regional).,Carrier Service Level Agreement (SLA)
fulfillment,carrier_management,carrier,transit_days_zone_3,transit_days_zone_3,Transit Days for Zone 3,INT,,,,,master_data,Standard number of business days for ground shipment delivery to Zone 3 (typically extended regional).,Carrier Service Level Agreement (SLA)
fulfillment,carrier_management,carrier,updated_timestamp,updated_timestamp,Record Updated Timestamp,TIMESTAMP,,,,,master_data,Timestamp when the carrier master record was last modified or updated.,Internal Audit Standards
fulfillment,carrier_management,carrier_facility_contract,carrier_facility_contract_id,carrier_facility_contract_id,,BIGINT,Y,,,,association_data,Unique identifier for this carrier-facility service contract record. Primary key.,
fulfillment,carrier_management,carrier_facility_contract,dc_facility_id,dc_facility_id,Carrier Facility Contract - Dc Facility Id,BIGINT,,supplychain.dc_facility.dc_facility_id,,,association_data,Foreign key linking to the distribution center facility receiving carrier service,Internal - M:N Association FK
fulfillment,carrier_management,carrier_facility_contract,fulfillment_carrier_id,fulfillment_carrier_id,Carrier Facility Contract - Fulfillment Carrier Id,BIGINT,,fulfillment.carrier.carrier_id,,,association_data,Foreign key linking to the carrier master record providing service to this facility,Internal - M:N Association FK
fulfillment,carrier_management,carrier_facility_contract,assigned_dock_doors,assigned_dock_doors,,STRING,,,,,association_data,Comma-separated list of dock door numbers or identifiers assigned to this carrier at this facility for loading operations.,
fulfillment,carrier_management,carrier_facility_contract,contract_number,contract_number,,STRING,,,,,association_data,"Business-assigned contract or agreement number for this carrier-facility relationship, used for legal and procurement reference.",
fulfillment,carrier_management,carrier_facility_contract,contract_status,contract_status,,STRING,,,,,association_data,Current lifecycle status of this carrier-facility contract indicating whether it is operationally active.,
fulfillment,carrier_management,carrier_facility_contract,created_date,created_date,Record Created Date,TIMESTAMP,,,,,association_data,Timestamp when this carrier-facility contract record was created in the system.,
fulfillment,carrier_management,carrier_facility_contract,daily_pickup_schedule,daily_pickup_schedule,,STRING,,,,,association_data,"Scheduled pickup times for this carrier at this facility, typically in format HH:MM or multiple times (e.g., 10:00,14:00,18:00), defining when the carrier collects outbound shipments.",
fulfillment,carrier_management,carrier_facility_contract,effective_date,effective_date,Contract Effective Date,DATE,,,,,association_data,Date when this carrier-facility service agreement became active and rates/terms took effect.,
fulfillment,carrier_management,carrier_facility_contract,expiry_date,expiry_date,Contract Expiry Date,DATE,,,,,association_data,Date when this carrier-facility service agreement expires and requires renewal or renegotiation.,
fulfillment,carrier_management,carrier_facility_contract,facility_discount_percentage,facility_discount_percentage,Facility Volume Discount,"DECIMAL(5,2)",,,,,association_data,Additional volume-based discount percentage negotiated specifically for this facility based on shipment volume commitments.,
fulfillment,carrier_management,carrier_facility_contract,facility_specific_base_rate,facility_specific_base_rate,Facility-Specific Base Rate,"DECIMAL(10,4)",,,,,association_data,"Negotiated base shipping rate per pound for this specific carrier-facility combination, potentially different from the carrier's standard base rate due to facility volume or regional pricing.",
fulfillment,carrier_management,carrier_facility_contract,max_daily_volume_packages,max_daily_volume_packages,Maximum Daily Package Volume,INT,,,,,association_data,Maximum number of packages this carrier commits to pick up daily from this facility under the service agreement.,
fulfillment,carrier_management,carrier_facility_contract,priority_rank,priority_rank,Carrier Priority Rank,INT,,,,,association_data,"Priority ranking for this carrier at this facility used in carrier selection logic (1=highest priority), allowing facilities to prefer certain carriers based on performance or cost.",
fulfillment,carrier_management,carrier_facility_contract,rate_tier,rate_tier,Facility Rate Tier,STRING,,,,,association_data,"Negotiated rate tier or pricing level for this specific facility, which may differ from the carrier's standard rates based on facility volume commitments.",
fulfillment,carrier_management,carrier_facility_contract,service_levels_enabled,service_levels_enabled,Enabled Service Levels,STRING,,,,,association_data,"Comma-separated list or JSON array of service levels enabled for this carrier-facility combination (e.g., ground, two_day, overnight), as not all carrier services may be available at all facilities.",
fulfillment,carrier_management,carrier_facility_contract,sla_on_time_percentage,sla_on_time_percentage,On-Time Delivery SLA,"DECIMAL(5,2)",,,,,association_data,Service level agreement percentage for on-time delivery performance that this carrier commits to for shipments originating from this facility.,
fulfillment,carrier_management,carrier_facility_contract,updated_date,updated_date,Record Updated Date,TIMESTAMP,,,,,association_data,Timestamp when this carrier-facility contract record was last modified.,
fulfillment,carrier_management,carrier_rate,carrier_rate_id,carrier_rate_id,,BIGINT,Y,,,,reference_data,Unique identifier for the carrier rate record. Primary key.,
fulfillment,carrier_management,carrier_rate,carrier_id,carrier_id,,BIGINT,,fulfillment.carrier.carrier_id,,,reference_data,Reference to the carrier (shipping company) offering this rate. Links to the carrier master entity.,
fulfillment,carrier_management,carrier_rate,carrier_service_id,carrier_service_id,Carrier Service Id (Foreign Key),BIGINT,,fulfillment.carrier_service.carrier_service_id,,,reference_data,"Foreign key linking to fulfillment.carrier_service. Business justification: carrier_rate has carrier_id FK and denormalized service_level/service_code columns, but no FK to carrier_service. Business reality: a rate is pricing for a specific carrier_service offering. Adding ca",Internal - LLM Generated Cross-Domain Link
fulfillment,carrier_management,carrier_rate,base_rate_amount,base_rate_amount,,"DECIMAL(12,4)",,,,,reference_data,Base shipping rate amount before surcharges and discounts. This is the starting point for freight cost calculation.,
fulfillment,carrier_management,carrier_rate,contract_number,contract_number,,STRING,,,confidential,,reference_data,Reference number of the carrier contract or agreement under which this rate is offered. Business-confidential identifier.,
fulfillment,carrier_management,carrier_rate,created_timestamp,created_timestamp,,TIMESTAMP,,,,,reference_data,Timestamp when this carrier rate record was first created in the system.,
fulfillment,carrier_management,carrier_rate,currency_code,currency_code,,STRING,,,,^[A-Z]{3}$,reference_data,"Three-letter ISO 4217 currency code for all monetary amounts in this rate record (e.g., USD, CAD, EUR).",ISO 4217
fulfillment,carrier_management,carrier_rate,destination_country_code,destination_country_code,,STRING,,,,^[A-Z]{3}$,reference_data,"Three-letter ISO 3166-1 alpha-3 country code for the shipment destination (e.g., USA, CAN, MEX).",ISO 3166-1 alpha-3
fulfillment,carrier_management,carrier_rate,destination_postal_code,destination_postal_code,,STRING,,,"restricted,pii_address",,reference_data,Postal code of the shipment destination (customer delivery address).,
fulfillment,carrier_management,carrier_rate,dimensional_weight_factor,dimensional_weight_factor,,"DECIMAL(10,2)",,,,,reference_data,Divisor used to calculate dimensional weight from package dimensions (length × width × height ÷ factor). Common values are 5000 (cm³/kg) or 139 (in³/lb).,
fulfillment,carrier_management,carrier_rate,effective_date,effective_date,,DATE,,,,,reference_data,Date when this carrier rate becomes active and can be used for freight cost estimation and carrier selection.,
fulfillment,carrier_management,carrier_rate,expiry_date,expiry_date,,DATE,,,,,reference_data,Date when this carrier rate expires and is no longer valid. Null indicates an open-ended rate with no expiration.,
fulfillment,carrier_management,carrier_rate,extended_area_surcharge,extended_area_surcharge,,"DECIMAL(10,2)",,,,,reference_data,Additional fee for delivery to remote or extended service areas beyond standard carrier coverage zones.,
fulfillment,carrier_management,carrier_rate,fuel_surcharge_rate,fuel_surcharge_rate,,"DECIMAL(6,4)",,,,,reference_data,"Fuel surcharge rate expressed as a decimal percentage (e.g., 0.1250 for 12.50%). Applied to base rate to account for fuel cost fluctuations.",
fulfillment,carrier_management,carrier_rate,is_hazmat_eligible,is_hazmat_eligible,Is Hazardous Materials (HAZMAT) Eligible,BOOLEAN,,,,,reference_data,Flag indicating whether this carrier service level can handle hazardous materials shipments under applicable regulations.,DOT Hazardous Materials Regulations (49 CFR)
fulfillment,carrier_management,carrier_rate,is_international,is_international,,BOOLEAN,,,,,reference_data,Flag indicating whether this rate applies to international shipments (cross-border) or domestic shipments within a single country.,
fulfillment,carrier_management,carrier_rate,minimum_charge_amount,minimum_charge_amount,,"DECIMAL(10,2)",,,,,reference_data,Minimum shipping charge that will be applied regardless of calculated rate. Ensures carrier covers base handling costs.,
fulfillment,carrier_management,carrier_rate,modified_timestamp,modified_timestamp,,TIMESTAMP,,,,,reference_data,Timestamp when this carrier rate record was last modified or updated.,
fulfillment,carrier_management,carrier_rate,negotiated_discount_percentage,negotiated_discount_percentage,,"DECIMAL(6,4)",,,confidential,,reference_data,"Discount percentage off published rates negotiated with the carrier, expressed as a decimal (e.g., 0.1500 for 15% discount). Business-confidential contract term.",
