domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
asset,asset_registry,asset_valuation,asset_valuation_id,asset_valuation_id,Asset Valuation ID,BIGINT,Y,,,,transactional_data,Unique surrogate identifier for each asset valuation record in the SAP FI-AA fixed asset accounting module. Serves as the primary key for the asset_valuation data product in the Databricks Silver layer.,SAP FI-AA Fixed Asset Accounting
asset,asset_registry,asset_valuation,asset_location_id,asset_location_id,Asset Location Id (Foreign Key),BIGINT,,shared.location.location_id,,,transactional_data,"Foreign key linking to logistics.location. Business justification: Asset valuation must reflect the physical location of the asset for depreciation, insurance, and tax purposes. Finance and fixed-asset teams link valuations to logistics locations to correctly allocat",Internal - LLM Generated Cross-Domain Link
asset,asset_registry,asset_valuation,asset_transaction_id,asset_transaction_id,Asset Transaction Id (Foreign Key),BIGINT,,finance.asset_transaction.asset_transaction_id,,,transactional_data,"Foreign key linking to finance.asset_transaction. Business justification: Asset valuations are directly posted as financial asset transactions (acquisitions, depreciation, write-offs). Fixed asset accounting teams link every valuation movement to its corresponding financial",Internal - LLM Generated Cross-Domain Link
asset,asset_registry,asset_valuation,chart_of_accounts_id,chart_of_accounts_id,Chart Of Accounts Id (Foreign Key),BIGINT,,finance.chart_of_accounts.chart_of_accounts_id,,,transactional_data,"Foreign key linking to finance.chart_of_accounts. Business justification: Each asset valuation must post to a specific GL account (asset account, accumulated depreciation account). Finance controllers require this link to ensure valuations hit the correct balance sheet acco",Internal - LLM Generated Cross-Domain Link
asset,asset_registry,asset_valuation,class_id,class_id,Class Id (Foreign Key),BIGINT,,asset.class.class_id,,,transactional_data,"Foreign key linking to asset.class. Business justification: asset_valuation stores asset_class_code as a STRING reference to the asset classification taxonomy. The class product is the authoritative source for asset classification with depreciation_method, use",Internal - LLM Generated Cross-Domain Link
asset,asset_registry,asset_valuation,fiscal_period_id,fiscal_period_id,Fiscal Period Id (Foreign Key),BIGINT,,shared.fiscal_period.fiscal_period_id,,,transactional_data,Foreign key linking to finance.fiscal_period. Business justification: Asset depreciation and revaluation runs are executed period-by-period. Finance teams close asset books per fiscal period — this link drives period-end depreciation runs and ensures valuations align wi,Internal - LLM Generated Cross-Domain Link
asset,asset_registry,asset_valuation,installed_base_id,installed_base_id,Installed Base Id (Foreign Key),BIGINT,,shared.installed_base.installed_base_id,,,transactional_data,"Foreign key linking to customer.installed_base. Business justification: Asset valuations are performed on specific customer-installed equipment for insurance, depreciation, or lease purposes. Finance and asset management teams link valuations to the installed base to main",Internal - LLM Generated Cross-Domain Link
asset,asset_registry,asset_valuation,sales_price_list_id,sales_price_list_id,Sales Price List Id (Foreign Key),BIGINT,,shared.sales_price_list.sales_price_list_id,,,transactional_data,Foreign key linking to sales.sales_price_list. Business justification: Asset valuations in industrial manufacturing reference the current sales price list to establish replacement cost or fair market value — used by finance and insurance teams during asset lifecycle revi,Internal - LLM Generated Cross-Domain Link
asset,asset_registry,asset_valuation,accumulated_depreciation,accumulated_depreciation,Accumulated Depreciation,"DECIMAL(18,2)",,,confidential,,transactional_data,"Total depreciation charged against the asset from the capitalization date to the current valuation date. Represents the cumulative reduction in asset value due to wear, obsolescence, and usage over its useful life.",SAP FI-AA; IAS 16; GAAP ASC 360
asset,asset_registry,asset_valuation,accumulated_depreciation_gl_account,accumulated_depreciation_gl_account,Accumulated Depreciation GL Account Code,STRING,,,,,transactional_data,The SAP General Ledger contra-asset account code used to record accumulated depreciation for this asset. Supports balance sheet presentation of gross asset value less accumulated depreciation.,SAP FI-AA; IFRS; GAAP ASC 360
asset,asset_registry,asset_valuation,acquisition_cost,acquisition_cost,Asset Acquisition Cost,"DECIMAL(18,2)",,,confidential,,transactional_data,"The original historical cost of acquiring the asset, including purchase price, import duties, installation costs, and any directly attributable costs to bring the asset to its intended use. Recorded in the transaction currency per IAS 16.",SAP FI-AA; IAS 16 Property Plant and Equipment; GAAP ASC 360
