domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
asset,equipment_registry,equipment_class,equipment_class_id,equipment_class_id,Equipment Class Identifier (ID),BIGINT,Y,,,,reference_data,Unique identifier for the equipment class. Primary key for the equipment classification hierarchy.,ISO 55000 Asset Management
asset,equipment_registry,equipment_class,vessel_type_id,vessel_type_id,Vessel Type Id (Foreign Key),BIGINT,,masterdata.vessel_type.vessel_type_id,,,reference_data,"Foreign key linking to masterdata.vessel_type. Business justification: Equipment classes (STS cranes, fenders, mooring hooks) are designed and certified for specific vessel types. Port procurement, berth planning, and equipment assignment decisions require knowing which ",Internal - LLM Generated Cross-Domain Link
asset,equipment_registry,equipment_class,acquisition_cost_range_usd,acquisition_cost_range_usd,Acquisition Cost Range in United States Dollars (USD),STRING,,,confidential,,reference_data,"Typical acquisition cost range for new equipment in this class, expressed in USD. Used for budgeting, procurement planning, and asset valuation. Business-confidential.",CAPEX Planning Standards
asset,equipment_registry,equipment_class,annual_operating_cost_usd,annual_operating_cost_usd,Annual Operating Cost in United States Dollars (USD),"DECIMAL(15,2)",,,confidential,,reference_data,"Estimated annual operating cost (OPEX) for equipment in this class, including fuel, maintenance, labor, and consumables. Used for total cost of ownership analysis. Business-confidential.",OPEX Planning Standards
asset,equipment_registry,equipment_class,automation_level,automation_level,Automation Level,STRING,,,,manual|semi_automated|fully_automated|remote_controlled,reference_data,"Degree of automation for equipment in this class. Impacts operator requirements, productivity metrics, and technology integration.",IAPH Smart Port Guidelines
asset,equipment_registry,equipment_class,capacity_teu,capacity_teu,Capacity in Twenty-foot Equivalent Units (TEU),INT,,,,,reference_data,"Operational capacity of the equipment class expressed in TEU. Applicable to container handling equipment (cranes, stackers, carriers). Null for non-container equipment.",ISO 668 Container Classification
asset,equipment_registry,equipment_class,certification_requirements,certification_requirements,Certification Requirements,STRING,,,,,reference_data,"Mandatory certifications, inspections, or regulatory approvals required for equipment in this class (e.g., annual SWL certification, ISPS compliance, pressure vessel inspection).",ISPS Code - Port Facility Security
asset,equipment_registry,equipment_class,class_code,class_code,Equipment Class Code,STRING,,,,"^[A-Z0-9]{4,12}$",reference_data,"Standardized alphanumeric code uniquely identifying the equipment class across the terminal. Used for reporting, spare parts mapping, and maintenance planning.",ISO 14224 Equipment Reliability Data
asset,equipment_registry,equipment_class,class_description,class_description,Equipment Class Description,STRING,,,,,reference_data,"Detailed description of the equipment class, including typical use cases, operational characteristics, and distinguishing features.",ISO 55000 Asset Management
asset,equipment_registry,equipment_class,class_name,class_name,Equipment Class Name,STRING,,,,,reference_data,"Full descriptive name of the equipment class (e.g., Ship-to-Shore Crane, Rubber Tyred Gantry Crane, Automated Guided Vehicle).",PIANC Port Equipment Standards
asset,equipment_registry,equipment_class,created_timestamp,created_timestamp,Created Timestamp,TIMESTAMP,,,,,reference_data,Timestamp when this equipment class record was first created in the system.,Data Governance Standards
asset,equipment_registry,equipment_class,depreciation_method,depreciation_method,Depreciation Method,STRING,,,,straight_line|declining_balance|units_of_production|sum_of_years_digits,reference_data,Standard depreciation method applied to assets in this equipment class for financial accounting purposes.,"IAS 16 Property, Plant and Equipment"
asset,equipment_registry,equipment_class,effective_from_date,effective_from_date,Effective From Date,DATE,,,,,reference_data,Date from which this equipment class definition became effective in the terminal classification hierarchy.,Data Governance Standards
asset,equipment_registry,equipment_class,effective_to_date,effective_to_date,Effective To Date,DATE,,,,,reference_data,Date until which this equipment class definition remains effective. Null for currently active classes.,Data Governance Standards
asset,equipment_registry,equipment_class,emissions_standard,emissions_standard,Emissions Standard,STRING,,,,,reference_data,"Applicable emissions standard or tier for this equipment class (e.g., EPA Tier 4, Euro Stage V). Required for environmental compliance and GHG reporting.",MARPOL Annex VI - Air Pollution
asset,equipment_registry,equipment_class,environmental_impact_category,environmental_impact_category,Environmental Impact Category,STRING,,,,minimal|moderate|significant|high,reference_data,"Classification of environmental impact for equipment in this class based on emissions, noise, and resource consumption. Used for EMS reporting and sustainability planning.",ISO 14001 Environmental Management
asset,equipment_registry,equipment_class,equipment_category,equipment_category,Equipment Category,STRING,,,,cargo_handling|horizontal_transport|yard_equipment|marine_equipment|utility_equipment|support_vehicle,reference_data,High-level categorization of equipment class by operational function within the terminal.,IAPH Port Equipment Classification
asset,equipment_registry,equipment_class,fuel_consumption_rate,fuel_consumption_rate,Fuel Consumption Rate,"DECIMAL(18,2)",,,,,reference_data,"Typical fuel or energy consumption rate for this equipment class (e.g., liters per hour, kWh per move). Used for OPEX planning and environmental impact assessment.",MARPOL Annex VI - Air Pollution
asset,equipment_registry,equipment_class,imdg_compliance_required,imdg_compliance_required,International Maritime Dangerous Goods (IMDG) Compliance Required Flag,BOOLEAN,,,,,reference_data,Indicates whether equipment in this class must comply with IMDG Code requirements for handling dangerous goods. Critical for cargo operations and regulatory compliance.,IMDG Code - Dangerous Goods Handling
asset,equipment_registry,equipment_class,inspection_frequency_days,inspection_frequency_days,Inspection Frequency in Days,INT,,,,,reference_data,"Standard inspection interval for equipment in this class, measured in days. Drives preventive maintenance scheduling in Maximo and SAP PM.",ISO 55000 Asset Management
asset,equipment_registry,equipment_class,interoperability_standard,interoperability_standard,Interoperability Standard,STRING,,,,,reference_data,"Communication or integration standards supported by equipment in this class (e.g., ISO 18186 RFID, EDI BAPLIE, TOS API). Enables system integration and data exchange.",ISO 18186 Freight Container RFID
asset,equipment_registry,equipment_class,isps_security_level,isps_security_level,International Ship and Port Facility Security (ISPS) Security Level,STRING,,,,level_1|level_2|level_3|not_applicable,reference_data,"ISPS security level classification for equipment in this class. Determines access control, monitoring, and security protocol requirements.",ISPS Code - Port Facility Security
asset,equipment_registry,equipment_class,kpi_benchmark_moves_per_hour,kpi_benchmark_moves_per_hour,Key Performance Indicator (KPI) Benchmark Moves Per Hour,"DECIMAL(10,2)",,,,,reference_data,"Industry benchmark productivity rate for equipment in this class, measured in moves per hour. Used for performance target setting and operational efficiency analysis.",IAPH Port Performance Indicators
asset,equipment_registry,equipment_class,last_modified_timestamp,last_modified_timestamp,Last Modified Timestamp,TIMESTAMP,,,,,reference_data,Timestamp when this equipment class record was last updated.,Data Governance Standards
asset,equipment_registry,equipment_class,lifecycle_status,lifecycle_status,Lifecycle Status,STRING,,,,active|deprecated|obsolete|under_review,reference_data,Current lifecycle status of the equipment class in the classification hierarchy. Deprecated or obsolete classes are retained for historical asset tracking but not used for new acquisitions.,ISO 55000 Asset Management
asset,equipment_registry,equipment_class,maintenance_complexity,maintenance_complexity,Maintenance Complexity,STRING,,,,low|medium|high|critical,reference_data,"Relative complexity of maintenance operations for this equipment class. Influences spare parts inventory levels, technician skill requirements, and maintenance cost forecasting.",ISO 14224 Equipment Reliability Data
asset,equipment_registry,equipment_class,manufacturer_standard,manufacturer_standard,Manufacturer Standard,STRING,,,,,reference_data,"Typical or recommended manufacturers for this equipment class (e.g., Liebherr, Konecranes, Kalmar, ZPMC). Used for procurement and spare parts compatibility.",Port Equipment Procurement Standards
asset,equipment_registry,equipment_class,mean_time_between_failures_hours,mean_time_between_failures_hours,Mean Time Between Failures (MTBF) in Hours,"DECIMAL(10,2)",,,,,reference_data,"Industry benchmark or historical average MTBF for equipment in this class, measured in operational hours. Used for reliability planning and spare parts optimization.",ISO 14224 Equipment Reliability Data
asset,equipment_registry,equipment_class,mean_time_to_repair_hours,mean_time_to_repair_hours,Mean Time To Repair (MTTR) in Hours,"DECIMAL(10,2)",,,,,reference_data,"Industry benchmark or historical average MTTR for equipment in this class, measured in hours. Critical for downtime forecasting and service level planning.",ISO 14224 Equipment Reliability Data
asset,equipment_registry,equipment_class,mobility_type,mobility_type,Mobility Type,STRING,,,,fixed|rail_mounted|rubber_tyred|tracked|self_propelled|towed,reference_data,"Mobility characteristic of equipment in this class. Influences yard planning, operational flexibility, and infrastructure requirements.",Terminal Operating System (TOS) Equipment Master
asset,equipment_registry,equipment_class,noise_level_db,noise_level_db,Noise Level in Decibels (dB),INT,,,,,reference_data,"Typical operational noise level for equipment in this class, measured in decibels. Required for occupational health compliance and environmental monitoring.",ISO 45001 Occupational Health and Safety
