"ID","Group","Scope","Name","Requirement","Example"
"ATT-RUL-069","Attribute","ALL","ENUM-Overflow Promotion to Reference Product (6-value cap)","A categorical `value_regex` pipe-enum has a HARD CAP of 6 values. If >6 candidate values, leave `value_regex` EMPTY and append `[ENUM-REF-CANDIDATE: a","If an `order` can only be in a handful of states like pending, paid or shipped, you can list those values inline. But a `country` field with 190 possible values is too many to list, so it should become its own lookup table that orders point to."
"ATT-RUL-070","Attribute","ALL","value_regex Empty for Non-STRING Columns","`value_regex` MUST be EMPTY for DATE, TIMESTAMP, BOOLEAN, INT/INTEGER, BIGINT, SMALLINT, TINYINT, DECIMAL(...), DOUBLE, FLOAT — the type already constrains the value. Regex is ONLY valid on STRING columns needing a specific format (phone, email, postal, ISO code, SKU). Never `true\","A list of allowed text values only makes sense for text fields like a phone number or postal code. You should not put one on a yes/no field or a whole-number count, because the column's type already controls what can go in it."
"ATT-RUL-073","Attribute","Tags","Attribute Business Glossary Term Expands Abbreviations","Every attribute carries a business-glossary term: the business-friendly name with abbreviations fully expanded (full term, then the abbreviation in parentheses), not the raw abbreviation.","Spell out abbreviations in the friendly business name. A column called `cust_acct_bal` should read as 'Customer Account Balance', not stay as the cryptic short form."
"ATT-RUL-074","Attribute","ALL","Attribute References Its Governing Standard","Every attribute that aligns to a business standard, governing body, or regulatory source must record that reference (e.g. the financial, privacy, or security standard it conforms to).","If a field follows an official rule, note which one. A `national_id` field should mention the national identity standard it follows, and a credit card number field should reference the payment card security standard."
"ATT-RUL-076","Attribute","ALL","FK-Add Attribute Budget at Synthesis Ceiling","During automatic FK synthesis (process-flow / cross-domain gates), no new FK column may be added to a source product already carrying ≥40 attributes (or ≥`max_attributes_per_product`); the FK add is skipped (budget full) so synthesized FKs never bloat a product past the attribute ceiling.","When the system automatically adds a link from one table to another, it should not pile a new column onto a table that is already crammed full. If an `order` table already has 40 columns, skip adding more so it does not become bloated."
"ATT-RUL-001","Data Type","Attributes","Standard SQL Data Types","Every column must use a standard SQL data type (STRING, BIGINT, INT, DOUBLE, DECIMAL(p,s), BOOLEAN, DATE, TIMESTAMP, or ARRAY/MAP/STRUCT). No language- or engine-specific type names.","Use everyday standard column types. A `price` should be a decimal number, a `created_at` should be a timestamp, and a `customer_id` should be a whole number, not some unusual custom type."
"ATT-RUL-002","Data Type","Attributes","No Complex Types","Do NOT use ARRAY, STRUCT, or MAP types.","Avoid stuffing a list inside one column. Instead of cramming multiple tags into a single `tags` cell on a `product`, keep a separate table that links products to their tags."
"ATT-RUL-003","Data Type","Attributes","Boolean Format","Boolean representation follows widget configuration: Boolean (True/False), Int (0/1), or String (Y/N).","Pick one way to record yes/no answers and follow the chosen setting. If the choice is Y/N, then an `is_active` field on a `customer` holds 'Y' or 'N' rather than true/false."
"ATT-RUL-009","Data Type","Attributes","Consistent Booleans","Boolean representation must be consistent across the model. Choose one format and apply everywhere.","Record yes/no the same way everywhere. If a `customer` table uses true/false for active status, then an `order` table should not switch to 1/0 or Y/N for its own flags."
"ATT-RUL-010","Data Type","Attributes","Infer Types by Name","When no type is specified, infer from attribute name pattern.","When the type is not stated, guess it from the name. A field ending in `_date` is a date, one ending in `_amount` is a money value, and one starting with `is_` is a yes/no flag."
"ATT-RUL-011","Data Type","Attributes","Categorical Values via Regex","Categorical attributes must define allowed values using pipe-separated format in value_regex.","For a field with a fixed set of choices, list them. An `order_status` should spell out its allowed values like pending, confirmed, shipped, delivered and cancelled."
"ATT-RUL-085","Data Type","Attributes","value_regex Only on STRING Columns","A value_regex constraint is valid only on STRING columns that need a specific format (phone, email, postal code, ISO code, SKU). For DATE, TIMESTAMP, BOOLEAN, INT, BIGINT, DECIMAL, DOUBLE and other typed columns the type already constrains the value, so value_regex must be empty.","A format rule belongs only on text fields that need a shape, like a phone number or postal code. A yes/no `is_active` field or a numeric `order_count` should have no such rule because their type already limits them."
"ATT-RUL-086","Data Type","Attributes","Categorical Enum Capped at Six Values","A categorical pipe-enum in value_regex holds at most six allowed values. A categorical attribute with more than six distinct values must instead be modelled as a reference/lookup entity linked by FK, rather than an inline enum.","A short fixed list of choices can sit right in the column. An `order_status` with five values is fine inline, but a `country` with 190 values should become its own reference table that other tables point to."
"PRD-RUL-011","Data Type","Products","Table Classifications","Every table must be classified: master_data, reference_data, transactional_data, or association_data.","Label every table by what it holds. A `customer` is master data, a `country` is reference data, an `order` is transactional data, and an `enrollment` linking students to courses is association data."
"REL-RUL-003","Data Type","Relations","FK Type Compatibility","FK source and target column data types must be compatible. Numeric FK must reference numeric PK. String FK must reference string PK. Cross-type references (STRING FK to BIGINT PK) are invalid.","A link between tables must match types on both ends. A numeric `customer_id` in `order` can point to the numeric `customer_id` in `customer`, but a text field cannot point to a numeric one."
"DOM-RUL-015","Domain","Domains","Real Business Functions Only","Domain names must represent real business functions. Generic catch-all names are forbidden.","Name a business area after the real function it serves. Use a concrete name like 'fieldservice' or 'powergeneration' instead of a vague catch-all like 'services' or 'utilities'."
"DOM-RUL-001","Domain & Division","Divisions","Division Balance Rule","Operations + Business divisions must comprise >=80% of all domains. Corporate division capped at <=20%.","Most business areas should be customer-facing or operational, with only a small slice for internal back-office. In a 10-area model, at least eight should be operations or business and at most two should be corporate functions like HR."
"DOM-RUL-003","Domain & Division","Divisions","No Early Corporate","Cannot add Corporate division domains until Operations has >=2 domains AND Business has >=2 domains.","Build out the core business areas before adding internal ones. Have at least two operations areas and two business areas (like production, logistics, customer, sales) before adding finance or HR."
"DOM-RUL-005","Domain & Division","Divisions","Interleaved Filling","Alternate Operations and Business domains when filling the model to maintain balance.","When filling out the model, alternate between operational and customer-facing areas to keep them balanced, rather than stacking all of one kind first."
"DOM-RUL-006","Domain & Division","Domains","Forbidden Domain Types","analytics, reporting, insights, intelligence, bi, datawarehouse, data, system, integration, api, etl, logging are forbidden. This includes analytics-specific names: analytics, reporting, intelligence, insights, metrics, kpi, dashboard, bi, datawarehouse — these belong in the Gold layer, not the Silver data model.","Reporting and analytics areas do not belong in the operational model. Names like 'analytics', 'reporting', 'dashboard' or 'datawarehouse' describe downstream reporting, not real business functions."
"DOM-RUL-007","Domain & Division","Domains","Forbidden Generic Names","Forbidden: utilities, infrastructure, services, support, platform, shared (reserved), common, core, base, general, misc, other, admin, auxiliary.","Avoid vague filler names for a business area. 'admin', 'misc', 'common' or 'services' say nothing; use a clear name like 'hr' or 'finance' instead."
