"ID","Group","Scope","Name","Requirement","Example"
"G01-R001","Naming Convention","ALL","Snake Case Default","All names (domains, tables, columns) must use snake_case by default.","""customer_order_date"" is correct. ""CustomerOrderDate"" or ""customer-order-date"" are not valid. If someone submits a table called ""MyTable"", it must be converted to ""my_table""."
"G01-R002","Naming Convention","Domains","Single-Word Domains","Domain names must be exactly one word, lowercase, and no longer than 20 characters.","""customer"", ""sales"", ""logistics"", ""risk"" are valid domain names. ""customer_service"" is invalid (two words), ""CustomerData"" is invalid (not lowercase), and ""telecommunications_infrastructure"" is invalid (exceeds 20 characters)."
"G01-R003","Naming Convention","Domains","Singular Domains","Domain names must be singular, never plural. Exception: naturally singular terms that happen to end in 's' like logistics, sales, or operations.","""customer"" not ""customers"", ""product"" not ""products"", ""employee"" not ""employees"", ""aircraft"" not ""aircrafts"". Exception: ""logistics"" and ""sales"" are valid because they are singular discipline or department names, not plural forms."
"G01-R004","Naming Convention","Products","Concise Table Names","Table names must be 1 to 3 words, lowercase, and no longer than 30 characters.","""profile"" (1 word), ""rate_schedule"" (2 words), ""order_line_item"" (3 words) are all valid. ""monthly_aggregated_customer_transaction_summary"" violates both the word count and character limit."
"G01-R005","Naming Convention","Products","No Domain Prefix in Tables","Table names must NOT repeat the domain name as a prefix. In domain 'customer', the table should be 'account', NOT 'customer_account'.","In the ""network"" domain, the table should be ""element"" not ""network_element"", ""alarm"" not ""network_alarm"". In the ""service"" domain, use ""incident"" not ""service_incident"". The full path ""network.element"" is already clear without repeating ""network""."
"G01-R006","Naming Convention","Attributes","No Table Prefix in Columns","Column names must NOT repeat the table name as a prefix, except for the primary key. In table 'customer', use 'status', NOT 'customer_status'.","In the ""account"" table, use ""balance"" not ""account_balance"", ""type"" not ""account_type"". In the ""order"" table, use ""date"" not ""order_date"". The primary key ""account_id"" is the only exception — it keeps the table prefix because it must be recognizable when used as a foreign key in other tables."
"G01-R007","Naming Convention","Attributes","Primary Key Naming","Primary key names follow the pattern: table_name + suffix (for example, customer_id, order_id).","The ""customer"" table has ""customer_id"", the ""order"" table has ""order_id"", the ""profile"" table has ""profile_id"", the ""loan"" table has ""loan_id"". Seeing ""profile_id"" anywhere in the model instantly tells you it comes from the profile table."
"G01-R008","Naming Convention","Attributes","Foreign Key Naming","Foreign key column names must END WITH the target table's primary key name. Descriptive prefixes are allowed.","""driver_employee_id"" ends with ""employee_id"" — it links to the employee table. ""billing_address_id"" ends with ""address_id"" — it links to the address table. ""source_warehouse_id"" ends with ""warehouse_id"" — it links to the warehouse table. The prefix describes the business role; the suffix identifies the target."
"G01-R009","Naming Convention","Attributes","Column Length Limit","Column names must not exceed 50 characters.","""temperature_ramp_rate_c_per_min"" (30 characters) is well within the limit. ""average_monthly_customer_transaction_amount_in_local_currency_usd"" (65 characters) exceeds the limit and should be simplified to something like ""avg_monthly_txn_amount_usd""."
"G01-R010","Naming Convention","ALL","Valid Identifier Format","All names must be lowercase, contain only letters, numbers, and underscores, and must not start with a digit.","""order_date"", ""address_line_1"", ""rate_v2"" are all valid. ""Order_Date"" (contains uppercase), ""3rd_party_id"" (starts with a digit), and ""customer-name"" (contains a hyphen) are all invalid."
